#,Reaction,ATP,NADH,CO2,HCO3-,Acetyl-CoA,Pyruvate,HCO2-,3-PG,Oxaloacetate,Phosphoenolpyruvate,Glycerate-2P,Glycerate-3P,"Glycerate-1,3P2",Glycerone phosphate,Glyceraldehyde-3P,"D-fructose 1,6-bisphosphate ",D-fructose 6-phosphate,D-glucose 6-phosphate,D-glucose,"D-glucono-1,5-lactone", D-gluconate,EC Number,Reference,Notes
,,Input,Input,Input/Output,Input,Intermediate,Intermediate,Input,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,Production of gluconic acid from formic acid
1,6 HCO2- + 10 ATP + 4 NADH → 1 3-PG,-10,-4,,,,,-6,1,,,,,,,,,,,,,,,,
2,2 3-PG → 2 pyruvate + 2 ATP ,2,,,,,2,,-2,,,,,,,,,,,,,,,,
3,ATP + Pyruvate + HCO3- → ADP + Phosphate + Oxaloacetate,-1,,,-1,,-1,,,1,,,,,,,,,,,,,EC 6.4.1.1  ,KEGG,
4,ATP + Oxaloacetate → ADP + Phosphoenolpyruvate + CO2,-1,,1,,,,,,-1,1,,,,,,,,,,,,EC 4.1.1.49,KEGG,
5,Phosphoenolpyruvate + H2O → 2-phospho-D-glycerate,-1,,,,,,,,,-1,1,,,,,,,,,,,EC 4.2.1.11,KEGG,
6,2-phospho-D-glycerate → 3-phospho-D-glycerate,,,,,,,,,,,-1,1,,,,,,,,,,EC 5.4.2.11,KEGG,
7,ATP + 3-phospho-D-glycerate → ADP + 3-phospho-D-glyceroyl phosphate,-1,,,,,,,,,,,-1,1,,,,,,,,,EC 2.7.2.3,KEGG,
8,3-phospho-D-glyceroyl phosphate + NADH + H+ → D-glyceraldehyde 3-phosphate + Phosphate + NAD+ ,,-1,,,,,,,,,,,-1,,1,,,,,,,EC 1.2.1.12,KEGG,
9,D-glyceraldehyde 3-phosphate → Glycerone phosphate,,,,,,,,,,,,,,1,-1,,,,,,,EC 5.3.1.1,KEGG,Glycerone phosphate can also be integrated externally
10,"Glycerone phosphate + D-glyceraldehyde 3-phosphate → D-fructose 1,6-bisphosphate ",,,,,,,,,,,,,,-1,-1,1,,,,,,EC 4.1.2.13,KEGG,
11,"D-fructose 1,6-bisphosphate + H2O → D-fructose 6-phosphate + Phosphate ",,,,,,,,,,,,,,,,-1,1,,,,,EC 3.1.3.11 ,KEGG,
12,D-fructose 6-phosphate → D-glucose 6-phosphate,,,,,,,,,,,,,,,,,-1,1,,,,EC 5.3.1.9,KEGG,
13,D-glucose 6-phosphate + H2O → D-glucose + Phosphate,,,,,,,,,,,,,,,,,,-1,1,,,EC 3.1.3.9 ,KEGG,
14,"D-glucose + NAD(P)+ → D-glucono-1,5-lactone + NAD(P)H + H+",,1,,,,,,,,,,,,,,,,,-1,1,,EC 1.1.1.47,KEGG,
15,"D-glucono-1,5-lactone + H2O → D-gluconate",,,,,,,,,,,,,,,,,,,,-1,1,EC 3.1.1.17 ,KEGG,